Name,Latitude,Longitude
Satkhira 22.70817 89.07185
Netrakona 24.88352 90.72898
Narsingdi 23.92298 90.71768
Sandwip 22.51409 91.45491
Shahzadpur 24.17687 89.5988
Ramganj 23.1006 90.84989
Panchagarh 26.33338 88.55777
Patiya 22.29543 91.979
Parbatipur 25.66369 88.93093
Narayanganj 23.61352 90.50298
Nalchiti 22.63696 90.27195
Nagarpur 24.05783 89.87696
Mymensingh 24.75636 90.40646
Muktagacha 24.76484 90.25698
Mirzapur 24.10287 90.09841
Morrelgonj 22.45566 89.85584
Mehendiganj 22.82257 90.52859
Mathba 22.28616 89.95883
Laksham 23.24018 91.12143
Kushtia 23.9028 89.11943
Kaliganj 23.40964 89.13801
Jhingergacha 23.11134 89.09061
Ishurdi 24.12858 89.06573
Gaurnadi 22.97372 90.22376
Gafargaon 24.432 90.5585
Raipur 23.0391 90.76808
Chilmari 25.55613 89.67097
Khagrachhari 23.10787 91.97007
Bheramara 24.02452 88.99234
Bandarban 22.19534 92.21946
Baniachang 24.51863 91.35787
Bajitpur 24.21623 90.95002
Badarganj 25.67419 89.05377
Narail 23.15509 89.49515
Tungipara 22.89983 89.90326
Sarishabari 24.75127 89.83126
Raojan 22.53511 91.91919
Kesabpur 22.90725 89.21954
Dinajpur 25.62745 88.63779
Bera 24.07821 89.63262
Burhanuddin 22.49518 90.72391
Satkania 22.07639 92.04955
Jessore 23.16971 89.21371
Pabna 24.00644 89.2372
Tangail 24.24984 89.91655
Bogra 24.85098 89.37108
Pirgaaj 25.85587 88.35943
Nawabganj 24.59025 88.27444
Sherpur 25.01881 90.01751
Manikchari 22.83957 91.84128
Bhandaria 22.48898 90.06273
Fatikchari 22.68768 91.78123
Saidpur 25.77769 88.89169
Zoersel 51.26825 4.71296
Wuustwezel 51.39214 4.59546
Vise 50.7376 5.69907
Stekene 51.2099 4.03651
Stabroek 51.33189 4.37127
Soignies 50.57904 4.07129
Niklaas 51.16509 4.1437
Kruis 51.21399 3.24949
Waas 51.21914 4.12374
